uid,Cond,ResponseRegion,LatentPOPRegion,JointMass,ResponseMass,PosteriorGivenResponse
PG,S4C2R,Shoulder,Tail,0.000314034464824611,0.204804363953733,0.00153333873733059
PG,S4C2R,Tail,Central,1.41485029552137e-06,0.0144365391715381,9.80048111746039e-05
PG,S4C2R,Tail,Shoulder,0.00126264253799305,0.0144365391715381,0.0874615808532819
PG,S4C2R,Tail,Tail,0.0131724817832496,0.0144365391715381,0.912440414335544
PG,S4C4NR,Central,Central,0.584873820556932,0.612323664492781,0.955171022242645
PG,S4C4NR,Central,Shoulder,0.027449780678453,0.612323664492781,0.0448288744502322
PG,S4C4NR,Central,Tail,6.32573956820485e-08,0.612323664492781,1.03307122278947e-07
PG,S4C4NR,Shoulder,Central,0.0710715058663258,0.193718735498982,0.366879877071566
PG,S4C4NR,Shoulder,Shoulder,0.118958167123767,0.193718735498982,0.614076727361211
PG,S4C4NR,Shoulder,Tail,0.00368906250888939,0.193718735498982,0.0190433955672231
PG,S4C4NR,Tail,Central,1.12388088414881e-06,0.193957600008237,5.79446685307038e-06
PG,S4C4NR,Tail,Shoulder,0.00440296316250419,0.193957600008237,0.0227006477823875
PG,S4C4NR,Tail,Tail,0.189553512964848,0.193957600008237,0.977293557750759
PG,S6C2NR,Central,Central,0.740160229712305,0.772539717627239,0.95808696022208
