uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
AQ,S6C6NR,Tail,H0a POPCDM,NaN,2.21302769691391,1.8243859968909,1.46012567707688,1.80012567707688,2.23012567707688
ES,S2C2NR,Central,Observed,363,NaN,1.32900440773557,1.13434000015258,1.3184000005722,1.55344000062943
ES,S2C2NR,Central,H0a POPCDM,NaN,6.20071057001802,1.33321421512166,1.13439999814725,1.32439999814725,1.53439999814725
ES,S2C2NR,Shoulder,Observed,129,NaN,1.35085891474957,1.16059999995232,1.33460000038147,1.56667999992371
ES,S2C2NR,Shoulder,H0a POPCDM,NaN,1.66129140735128,1.35104833367342,1.14439999814725,1.33439999814725,1.56439999814725
ES,S2C2NR,Tail,Observed,6,NaN,1.49985000002384,1.36007000052928,1.51969999980927,1.62901999998093
ES,S2C2NR,Tail,H0a POPCDM,NaN,0.0902315387441808,1.35403286258669,1.14439999814725,1.33439999814725,1.56439999814725
ES,S4C2NR,Central,Observed,361,NaN,1.36851163433529,1.14791999998093,1.3435,1.6373
ES,S4C2NR,Central,H0a POPCDM,NaN,5.9184146560576,1.40422825813809,1.17439999814725,1.38439999814725,1.64439999814725
ES,S4C2NR,Shoulder,Observed,120,NaN,1.46558250003954,1.23630000019073,1.43030000042915,1.77515000009537
ES,S4C2NR,Shoulder,H0a POPCDM,NaN,1.80002673267109,1.43505623134149,1.18439999814725,1.40439999814725,1.70439999814725
ES,S4C2NR,Tail,Observed,18,NaN,1.42384444438087,1.21480000019073,1.41929999995232,1.64924000003338
ES,S4C2NR,Tail,H0a POPCDM,NaN,0.22370640176838,1.43408929265962,1.18439999814725,1.39439999814725,1.70439999814725
ES,S4C2R,Central,Observed,364,NaN,1.40505192308865,1.20806000003815,1.39544999992848,1.60612999949456
ES,S4C2R,Central,H0a POPCDM,NaN,5.98202195909125,1.40421535715728,1.17439999814725,1.38439999814725,1.64439999814725
ES,S4C2R,Shoulder,Observed,120,NaN,1.47574916669925,1.20974999976158,1.44480000019073,1.79895000004769
ES,S4C2R,Shoulder,H0a POPCDM,NaN,1.80659678662333,1.43525705025487,1.18439999814725,1.40439999814725,1.70439999814725
ES,S4C2R,Tail,Observed,13,NaN,1.6190692307674,1.2555200003624,1.4765999994278,2.27919999983311
ES,S4C2R,Tail,H0a POPCDM,NaN,0.153529044782498,1.44455898705234,1.18439999814725,1.40439999814725,1.72439999814725
ES,S4C4NR,Central,Observed,300,NaN,1.37287466666023,1.19090000009537,1.36129999989271,1.57515000021457
ES,S4C4NR,Central,H0a POPCDM,NaN,5.52922753054089,1.40431365811511,1.17439999814725,1.38439999814725,1.64439999814725
ES,S4C4NR,Shoulder,Observed,159,NaN,1.428999999991,1.20671999979019,1.40339999961853,1.68474000005722
ES,S4C4NR,Shoulder,H0a POPCDM,NaN,1.75982725414884,1.43379484742135,1.18439999814725,1.40439999814725,1.70439999814725
ES,S4C4NR,Tail,Observed,40,NaN,1.59004999996424,1.23185000014305,1.546,1.99094999980927
ES,S4C4NR,Tail,H0a POPCDM,NaN,0.653093005807335,1.41903012378842,1.18439999814725,1.39439999814725,1.67439999814725
ES,S6C2NR,Central,Observed,374,NaN,1.35301791444692,1.16145,1.32789999985695,1.5631999997139
ES,S6C2NR,Central,H0a POPCDM,NaN,5.83399505792279,1.4699023475555,1.20439999814725,1.43439999814725,1.76439999814725
ES,S6C2NR,Shoulder,Observed,111,NaN,1.4351666666366,1.20001999998093,1.3777000002861,1.70425999994278
ES,S6C2NR,Shoulder,H0a POPCDM,NaN,1.93028459861433,1.51486020374853,1.22439999814725,1.46439999814725,1.85439999814725
ES,S6C2NR,Tail,Observed,15,NaN,1.44305999999841,1.2385,1.377,1.73530000007153
ES,S6C2NR,Tail,H0a POPCDM,NaN,0.141590033701723,1.56281959766801,1.23439999814725,1.48439999814725,2.00439999814725
ES,S6C2R,Central,Observed,381,NaN,1.44817217847181,1.23988000030517,1.41810000002384,1.6944000002861
ES,S6C2R,Central,H0a POPCDM,NaN,5.86258777505965,1.46989268324365,1.20439999814725,1.43439999814725,1.76439999814725
ES,S6C2R,Shoulder,Observed,116,NaN,1.46235517243579,1.22575,1.4160499997139,1.74568000007868
ES,S6C2R,Shoulder,H0a POPCDM,NaN,1.93405665787716,1.51498003268059,1.22439999814725,1.46439999814725,1.85439999814725
ES,S6C2R,Tail,Observed,3,NaN,1.7265333331426,1.6639000005722,1.7245999994278,1.7910999994278
ES,S6C2R,Tail,H0a POPCDM,NaN,0.10922525730203,1.58719641603494,1.23439999814725,1.49439999814725,2.07439999814725
ES,S6C4NR,Central,Observed,308,NaN,1.44873863637873,1.2404700006485,1.42105000001192,1.69564999952316
ES,S6C4NR,Central,H0a POPCDM,NaN,5.36557356865579,1.47007533935737,1.21439999814725,1.43439999814725,1.76439999814725
ES,S6C4NR,Shoulder,Observed,141,NaN,1.53900141844428,1.29216000022888,1.49060000038147,1.88473999967575
ES,S6C4NR,Shoulder,H0a POPCDM,NaN,1.86848866613809,1.51282821267332,1.22439999814725,1.46439999814725,1.84439999814725
ES,S6C4NR,Tail,Observed,49,NaN,1.70494693881152,1.33763999996186,1.59179999995232,2.20042000007629
ES,S6C4NR,Tail,H0a POPCDM,NaN,0.671807455444962,1.49789090457745,1.21439999814725,1.44439999814725,1.82439999814725
ES,S6C4R,Central,Observed,272,NaN,1.52423088234707,1.28100000038147,1.45735000014305,1.87214000024795
ES,S6C4R,Central,H0a POPCDM,NaN,4.76271998264277,1.47034805595416,1.21439999814725,1.43439999814725,1.76439999814725
ES,S6C4R,Shoulder,Observed,135,NaN,1.64785925928222,1.33989999997616,1.60289999961853,1.98689999961853
ES,S6C4R,Shoulder,H0a POPCDM,NaN,1.78895794359885,1.51000646582365,1.22439999814725,1.46439999814725,1.84439999814725
ES,S6C4R,Tail,Observed,91,NaN,1.74901978021664,1.34270000009537,1.66620000004768,2.23177999992371
