"subexperiment","participant_id","redundancy","tab_away_count","target_orientation","started_outof_center","too_fast_trigger","num_items","response_RT_from_start","response_error_deg","duration_ms","response_orientation_360","response_RT","leave_center_RT","cue_type","too_slow_trigger","trial_event"
3,"651033d039c135459ac83d8f",0,2,53,"[False]","[False]",4,"[1370.699999988079]","[63.35820810630071]",50,116.358208106301,"[466.7999999821186]","[903.9000000059605]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,179,"[False]","[False]",6,"[2425.9000000059605]","[7.777948734199072]",250,6.77794873419905,"[749.8000000119209]","[1676.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,144,"[False]","[False]",6,"[2896.600000023842]","[37.767649338843796]",250,286.232350661156,"[2149.600000023842]","[747]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,54,"[False]","[False]",4,"[2093.300000011921]","[3.0599627476993874]",250,230.940037252301,"[1299.7000000178814]","[793.5999999940395]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,97,"[False]","[False]",4,"[1935.5]","[30.32141086038564]",50,246.678589139614,"[1300.0999999940395]","[635.4000000059605]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,7,"[False]","[False]",6,"[759.9000000059605]","[5.943987250296345]",50,12.9439872502964,"[66.5]","[693.4000000059605]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,46,"[False]","[False]",4,"[1946.2999999821186]","[2.967918137986885]",250,48.9679181379869,"[416.40000000596046]","[1529.8999999761581]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,152,"[False]","[False]",4,"[1497]","[22.463842813236624]",50,309.536157186763,"[650.4000000059605]","[846.5999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,28,"[False]","[False]",6,"[2391.699999988079]","[36.065141180729256]",50,351.934858819271,"[449.69999998807907]","[1942]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,87,"[False]","[False]",4,"[1697.2999999821186]","[31.00485738804366]",250,298.004857388044,"[383.19999998807907]","[1314.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,126,"[False]","[False]",6,"[1885.4000000059605]","[38.88817162221335]",150,344.888171622213,"[433.40000000596046]","[1452]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,36,"[False]","[False]",6,"[2475.5]","[21.083281855953146]",250,237.083281855953,"[1383.9000000059605]","[1091.5999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,135,"[False]","[False]",6,"[3441.2999999821186]","[5.872628281066795]",250,309.127371718933,"[2616.0999999940395]","[825.1999999880791]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,34,"[False]","[False]",4,"[1679.2999999821186]","[37.44738685186519]",50,356.552613148135,"[400]","[1279.2999999821186]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,109,"[False]","[False]",6,"[3132.4000000059605]","[45.35632430621871]",150,63.6436756937813,"[1200.699999988079]","[1931.7000000178814]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,5,"[False]","[False]",6,"[1468.8999999761581]","[2.2408923413797766]",150,2.75910765862027,"[549.7999999821186]","[919.0999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,154,"[False]","[False]",4,"[1424.1000000238419]","[77.08635134558284]",50,51.0863513455828,"[366.5]","[1057.6000000238419]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,148,"[False]","[False]",4,"[1150.7000000178814]","[17.373880495408116]",150,310.626119504592,"[516.6000000238419]","[634.0999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,110,"[False]","[False]",6,"[1222.2000000178814]","[13.305107275024966]",50,303.305107275025,"[499.90000000596046]","[722.3000000119209]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,112,"[True]","[False]",4,"[2862]","[32.76003023954013]",150,144.76003023954,"[2766.4000000059605]","[None]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,106,"[False]","[False]",6,"[2760.699999988079]","[48.59578683089035]",250,237.40421316911,"[583.5999999940395]","[2177.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,166,"[False]","[False]",4,"[2171]","[23.38353798070648]",50,322.616462019293,"[816.5999999940395]","[1354.4000000059605]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,75,"[False]","[False]",4,"[1797.5]","[18.56087771219279]",150,56.4391222878072,"[216.5]","[1581]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,5,"[False]","[False]",6,"[2624.4000000059605]","[23.964017961886043]",250,28.964017961886,"[316.19999998807907]","[2308.2000000178814]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,175,"[False]","[False]",4,"[3093.0999999940395]","[21.297488437887978]",50,16.297488437888,"[1866]","[1227.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,176,"[False]","[False]",6,"[2550.0999999940395]","[65.07884856218277]",250,61.0788485621828,"[633.2999999821186]","[1916.800000011921]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,38,"[False]","[False]",4,"[2168.5999999940395]","[27.435265176243774]",250,10.5647348237562,"[1050]","[1118.5999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,53,"[False]","[False]",4,"[1860.0999999940395]","[4.207843978532196]",150,48.7921560214678,"[683.2999999821186]","[1176.800000011921]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,100,"[False]","[False]",4,"[1505.2000000178814]","[40.872628281066795]",150,320.872628281067,"[566.7000000178814]","[938.5]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,66,"[False]","[False]",6,"[2545.800000011921]","[73.39870535499551]",150,319.398705354996,"[1133.0999999940395]","[1412.7000000178814]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,1,"[False]","[False]",6,"[2741.0999999940395]","[83.95083353241716]",250,84.9508335324171,"[149.90000000596046]","[2591.199999988079]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,10,"[False]","[False]",4,"[2435.2999999821186]","[3.7365093856654994]",50,6.26349061433454,"[1166.5]","[1268.7999999821186]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,57,"[False]","[False]",6,"[1491.199999988079]","[4.056528189409619]",150,52.9434718105904,"[483.19999998807907]","[1008]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,88,"[False]","[False]",4,"[2909.5999999940395]","[22.311282024955517]",250,245.688717975045,"[1616.5999999940395]","[1293]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,116,"[False]","[False]",4,"[1215.2000000178814]","[13.805571092265154]",250,309.805571092265,"[433.40000000596046]","[781.8000000119209]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,170,"[False]","[False]",6,"[1292.8999999761581]","[37.13324047861465]",250,312.866759521385,"[533.2999999821186]","[759.5999999940395]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,104,"[False]","[False]",4,"[1273.199999988079]","[24.33752289340373]",150,308.337522893404,"[533.4000000059605]","[739.7999999821186]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,79,"[False]","[False]",4,"[1399.2000000178814]","[20.277702866866434]",50,58.7222971331336,"[283]","[1116.2000000178814]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,35,"[False]","[False]",6,"[1731]","[89.59228868750995]",250,304.59228868751,"[450]","[1281]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,144,"[False]","[False]",6,"[2161.199999988079]","[60.49352531253925]",50,263.506474687461,"[749.8999999761581]","[1411.300000011921]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,10,"[False]","[False]",6,"[1327.7999999821186]","[32.878903603338586]",250,222.878903603339,"[833.1999999880791]","[494.59999999403954]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,3,"[False]","[False]",6,"[2138.800000011921]","[15.731713561266474]",50,347.268286438734,"[766.6999999880791]","[1372.1000000238419]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,13,"[False]","[False]",4,"[2203.5]","[8.407787989080248]",50,4.59221201091977,"[1066.4000000059605]","[1137.0999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,61,"[False]","[False]",6,"[2658.5]","[5.436860135225174]",250,66.4368601352252,"[816.5]","[1842]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,27,"[False]","[False]",4,"[1630.9000000059605]","[13.183084703507348]",50,40.1830847035074,"[549.9000000059605]","[1081]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,144,"[False]","[False]",4,"[1383.7000000178814]","[11.96093613416383]",150,312.039063865836,"[533]","[850.7000000178814]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,106,"[False]","[False]",4,"[2815.2999999821186]","[1.398727714166057]",250,284.601272285834,"[2033.199999988079]","[782.0999999940395]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,165,"[False]","[False]",4,"[1599]","[43.83604938563974]",50,301.16395061436,"[833.5]","[765.5]","NR-cue","[False]","orientation_response_event"
