ID,effect,CueType,DurationF,parameter,estimate,boot_mean,boot_se,lower,upper,n_boot,Duration_ms
HC,R_50ms_kappa,R,50ms,kappa,9.109526058473795,9.037449409195185,0.7875312623533364,7.746159513657397,10.526093089825316,60,50
HC,R_100ms_kappa,R,100ms,kappa,10.940250727489392,11.132578182108293,2.409779106370501,7.35600005962792,16.592950674649646,60,100
HC,R_150ms_kappa,R,150ms,kappa,10.65900096892658,10.990818663989746,1.8014861093758179,8.043868931118297,14.892858029290327,60,150
HC,R_200ms_kappa,R,200ms,kappa,10.657736083653177,10.680019013419047,0.9748533418484437,9.00344661135485,12.6553527020343,60,200
HC,R_250ms_kappa,R,250ms,kappa,12.511308364526519,12.769403060526408,1.2012513583869224,10.504241482796685,14.978910339262614,60,250
HC,R_300ms_kappa,R,300ms,kappa,10.04690829884489,10.145373777140058,1.3772022910337616,8.021872845493228,13.18324896138249,60,300
HC,R_350ms_kappa,R,350ms,kappa,10.646631712232072,10.722816116164532,0.9265679430327377,9.338647666563414,12.52962179075428,60,350
HC,R_50ms_gamma,R,50ms,gamma,1.3863167849103174e-25,7.848635487641378e-26,4.295267029197703e-26,2.3926072045899958e-26,1.9950738823251227e-25,60,50
HC,R_100ms_gamma,R,100ms,gamma,0.056624653615997715,0.04563240887165228,0.03461990578580678,0.002916415237194241,0.11637938771352994,60,100
HC,R_150ms_gamma,R,150ms,gamma,0.0035190216829989124,0.003687304587912119,0.004327169786041254,1.7992921520749902e-4,0.01460440297787978,60,150
HC,R_200ms_gamma,R,200ms,gamma,0.020869092916505252,0.012989851435573276,0.01435830025863485,2.239802930519014e-4,0.044561674624728057,60,200
HC,R_250ms_gamma,R,250ms,gamma,9.679237237506431e-4,8.202700940216158e-4,0.0012511146385825887,4.025417106691249e-6,0.0026539909054510043,60,250
HC,R_300ms_gamma,R,300ms,gamma,0.021312374274232587,0.01663032732545859,0.017700268177360187,3.555728194332853e-4,0.05664563869711854,60,300
HC,R_350ms_gamma,R,350ms,gamma,0.010398887584017674,0.010351211992688712,0.006100497644407942,9.514480479117741e-4,0.023493841332054823,60,350
HC,R_50ms_beta,R,50ms,beta,0.04314568599208543,0.04081310856980293,0.013739589542112036,0.01974582256480519,0.06817913255553121,60,50
HC,R_100ms_beta,R,100ms,beta,0.015882168120784183,0.01910836957180146,0.014511950127341288,0.0013798056402968954,0.051063712914131434,60,100
HC,R_150ms_beta,R,150ms,beta,3.7499446970710397e-57,3.324783245728586e-57,1.8497854881795782e-57,9.69344526475963e-58,6.940037298507241e-57,60,150
HC,R_200ms_beta,R,200ms,beta,0.0025243716238300476,0.0063086097303645255,0.008298432661415465,8.4326374562878e-5,0.025248515925350934,60,200
HC,R_250ms_beta,R,250ms,beta,3.837085265652715e-4,8.062087019800027e-4,0.0014222670090288851,3.3600275475336495e-5,0.00521891487705335,60,250
HC,R_300ms_beta,R,300ms,beta,0.019170072933571716,0.019718590187485965,0.013208491070169187,0.0015949937216787266,0.05033858881747721,60,300
HC,R_350ms_beta,R,350ms,beta,0.0012469119459775815,0.0018018495337972416,0.0027535481621061364,9.57024260614934e-5,0.010056255278355351,60,350
YILIU,NR_50ms_kappa,NR,50ms,kappa,6.3005612312082935,6.433201603704997,0.9609314249116376,5.06966358374226,8.4786262332217035,60,50
YILIU,NR_100ms_kappa,NR,100ms,kappa,5.351711233726553,5.419928660729131,0.9114630967699747,4.151954781597171,7.355632299148784,60,100
YILIU,NR_150ms_kappa,NR,150ms,kappa,7.079008800154649,8.322595201562994,2.3831367286861824,5.208942414243724,14.26451393989219,60,150
YILIU,NR_200ms_kappa,NR,200ms,kappa,9.418766721258883,9.834464008352802,2.0845041534978273,6.207290591800997,13.450331792295515,60,200
YILIU,NR_250ms_kappa,NR,250ms,kappa,13.7490921597226,15.220884400719273,5.437299916671187,8.372187832611797,26.854996507827334,60,250
YILIU,NR_300ms_kappa,NR,300ms,kappa,10.107465200619659,10.71984353778316,1.8925057189769043,7.661774525497493,15.009319060228005,60,300
YILIU,NR_350ms_kappa,NR,350ms,kappa,7.128353914593605,7.373717300779839,1.490962013701252,4.966717998516943,10.418867735482198,60,350
YILIU,NR_50ms_gamma,NR,50ms,gamma,8.110070224225618e-14,9.591186661732155e-14,3.9811256667877635e-14,4.605463860262517e-14,1.9562398968886546e-13,60,50
YILIU,NR_100ms_gamma,NR,100ms,gamma,0.1859730474572111,0.17328163189101162,0.0572656732353457,0.04891360612417496,0.25740353177188113,60,100
YILIU,NR_150ms_gamma,NR,150ms,gamma,0.12156160538728658,0.14113318684187687,0.08734715806459167,0.017453003742306048,0.32035217141658207,60,150
YILIU,NR_200ms_gamma,NR,200ms,gamma,0.11132047524575925,0.1084366881454963,0.057000381262558256,0.011943371316534905,0.22466079208945142,60,200
YILIU,NR_250ms_gamma,NR,250ms,gamma,0.2578530433652931,0.25683834029828906,0.06623626484063361,0.1346714635796895,0.39038867530300453,60,250
YILIU,NR_300ms_gamma,NR,300ms,gamma,0.1372378822146236,0.12839362703319482,0.046546735349794345,0.05962455173730918,0.22326816294308072,60,300
YILIU,NR_350ms_gamma,NR,350ms,gamma,0.15836268339440918,0.13277451211351943,0.05562353558111627,0.030575000068020573,0.23628647323730773,60,350
YILIU,NR_50ms_beta,NR,50ms,beta,0.25995544632844353,0.2614457322182703,0.026952280909784642,0.21036717505885685,0.3054595931142126,60,50
YILIU,NR_100ms_beta,NR,100ms,beta,0.11096052679302312,0.11410014959959096,0.0414889220893422,0.044121656493064,0.2105325149184094,60,100
YILIU,NR_150ms_beta,NR,150ms,beta,0.16370098094583554,0.15096980082204672,0.07268885576569419,0.01762795836814997,0.2581653780859177,60,150
YILIU,NR_200ms_beta,NR,200ms,beta,0.20284104358428745,0.1828221736714982,0.05261708452126521,0.08961743143865308,0.27135184061772755,60,200
YILIU,NR_250ms_beta,NR,250ms,beta,0.08545010178661012,0.08333841888391798,0.043058303990402655,0.01843489059383556,0.16328280854482166,60,250
YILIU,NR_300ms_beta,NR,300ms,beta,0.14821734114215512,0.1512380695238259,0.03336878605281262,0.10202744731147805,0.226399616641402,60,300
YILIU,NR_350ms_beta,NR,350ms,beta,0.1151955024600944,0.11980379313417713,0.04238698240121748,0.04189016152272136,0.19309980840892185,60,350
YILIU,R_50ms_kappa,R,50ms,kappa,24.00704922813019,24.559867964889406,3.8241795289966976,18.127871714308753,32.3973687349381,60,50
YILIU,R_100ms_kappa,R,100ms,kappa,25.818775601639746,27.02325754499272,4.18146239167348,20.274579049805475,35.351541889656886,60,100
YILIU,R_150ms_kappa,R,150ms,kappa,28.085118979117347,28.550382143961404,3.2602100268985565,22.29458882624651,34.97604358560219,60,150
YILIU,R_200ms_kappa,R,200ms,kappa,41.1133215677107,42.17255305854557,4.574801750456177,34.07814200152917,51.47825019732515,60,200
YILIU,R_250ms_kappa,R,250ms,kappa,37.40996464117981,38.05110133694301,4.8845844792863975,30.026472476124013,46.73270946917319,60,250
YILIU,R_300ms_kappa,R,300ms,kappa,32.549247416094694,32.8741935365678,3.5812282022682056,27.783148322289488,41.69834415207056,60,300
YILIU,R_350ms_kappa,R,350ms,kappa,41.41544597222369,41.15457972096353,5.460812267072873,32.548211976255544,52.44890338944038,60,350
YILIU,R_50ms_gamma,R,50ms,gamma,0.051743714184987244,0.04737375005905383,0.019610391279787663,0.012552456451696493,0.08648790889295299,60,50
YILIU,R_100ms_gamma,R,100ms,gamma,0.044692677065279005,0.040668097741890175,0.020329829353682487,0.006485620737137074,0.08322449956040945,60,100
YILIU,R_150ms_gamma,R,150ms,gamma,0.03291425297948513,0.020103706783802446,0.016386567295676276,1.8201535994850386e-4,0.047138572603219075,60,150
YILIU,R_200ms_gamma,R,200ms,gamma,0.04423363667162412,0.03828326438747645,0.019149397762626575,0.005811787320806355,0.07722207343156279,60,200
YILIU,R_250ms_gamma,R,250ms,gamma,0.012832402061625638,0.014010980788340248,0.012595021673917052,4.505764080476644e-5,0.04361930900702958,60,250
YILIU,R_300ms_gamma,R,300ms,gamma,3.479014326633372e-28,2.286653712723638e-28,1.7897211289948378e-28,3.890913036456921e-29,6.478028001005467e-28,60,300
YILIU,R_350ms_gamma,R,350ms,gamma,0.020986247766208836,0.014210522408581934,0.011088346436242739,3.324216135603404e-4,0.034793611701636695,60,350
YILIU,R_50ms_beta,R,50ms,beta,0.009018795720417257,0.010711294399290326,0.008610712041079605,0.001261297831590135,0.030992371496124275,60,50
YILIU,R_100ms_beta,R,100ms,beta,2.3027119248525478e-4,4.828928603391019e-4,0.0010281273434851633,1.574094312449525e-5,0.004032439682838767,60,100
YILIU,R_150ms_beta,R,150ms,beta,2.971913595833516e-4,8.131400402250024e-4,0.002024468865914044,1.0324622424560795e-5,0.007588091946919624,60,150
YILIU,R_200ms_beta,R,200ms,beta,1.7834896072519606e-48,1.746327783469617e-48,1.6603826456582888e-48,1.3857355053138395e-49,6.08370089628766e-48,60,200
YILIU,R_250ms_beta,R,250ms,beta,0.013586012027441563,0.01230439629103905,0.009787443598520172,7.224562088319732e-4,0.03350447510456625,60,250
YILIU,R_300ms_beta,R,300ms,beta,7.0336565333406e-21,8.484973489019075e-21,6.776653932012218e-21,9.009929524165558e-22,2.313070341471784e-20,60,300
YILIU,R_350ms_beta,R,350ms,beta,0.011877983831064674,0.011095794255206848,0.007110096477561787,5.64717649049896e-4,0.02572373923957926,60,350
