CueType,DurationF,Session_z,kappa,gamma,beta,p_target,log_kappa,circSD_deg,ID,SessionSlice
NR,50ms,1.3925220292164502,3.2730367167340497,1.891035590043836e-44,0.29753782016385577,0.7024621798361442,1.1857182135233533,35.167820011965155,AQ,late
NR,100ms,1.3925220292164502,4.801650129764952,0.09882199694933842,0.08057664388454973,0.8206013591661118,1.568959635870425,27.850851656044444,AQ,late
NR,150ms,1.3925220292164502,5.650965857225375,0.27110338141854046,0.05248306394175968,0.6764135546396999,1.7318264787298565,25.37714103675869,AQ,late
NR,200ms,1.3925220292164502,5.028321172305785,0.2303871901668683,0.05465357628584556,0.7149592335472862,1.6150861654393176,27.11845957830618,AQ,late
NR,250ms,1.3925220292164502,8.11146610379088,0.3967031744999455,7.455882988655883e-7,0.6032960799117556,2.093278629075252,20.811404753162382,AQ,late
NR,300ms,1.3925220292164502,5.290289080010955,0.031419081908619334,0.18631488792539,0.7822660301659907,1.6658728908820486,26.341975838058037,AQ,late
NR,350ms,1.3925220292164502,4.572654186299431,0.05019534970428805,0.074275823165405,0.8755288271303069,1.520093821064159,28.656825501119897,AQ,late
R,50ms,1.3925220292164502,11.249036888725886,1.4859100377215124e-4,0.018814175341764734,0.981037233654463,2.420282515094661,17.493250932081615,AQ,late
R,100ms,1.3925220292164502,11.613741409036843,0.01882863590421266,0.08132775802772896,0.8998436060680584,2.4521890012496668,17.202661052454644,AQ,late
R,150ms,1.3925220292164502,16.740823083997643,0.024966338026620117,0.020164805067384762,0.9548688569059952,2.8178502325501777,14.223322875633928,AQ,late
R,200ms,1.3925220292164502,17.85462173743526,0.0019870207690006357,0.026081484529280458,0.9719314947017189,2.8822623955761464,13.758596640900823,AQ,late
R,250ms,1.3925220292164502,21.419520642408802,0.07236826816935914,3.489869884790453e-22,0.9276317318306408,3.064302685796678,12.53011594263528,AQ,late
R,300ms,1.3925220292164502,13.015475852461636,1.730826168654022e-11,0.0040892483034349406,0.9959107516792568,2.5661390996269224,16.20738170087268,AQ,late
R,350ms,1.3925220292164502,14.98169763567906,3.0103228820390084e-150,0.023603227586079762,0.9763967724139202,2.7068292984824316,15.064139888057312,AQ,late
NR,50ms,1.3925220292164502,2.230180959123456,0.0020705390532266927,0.04218452409936325,0.95574493684741,0.8020827297687336,45.240911833060174,HC,late
NR,100ms,1.3925220292164502,4.002025178016726,0.02194817537524961,0.13021790708652073,0.8478339175382297,1.3868005275002535,31.029257414109537,HC,late
NR,150ms,1.3925220292164502,4.8788533730592825,0.18390505528017875,1.6364501662783038e-58,0.8160949447198212,1.584910227719532,27.594559256736975,HC,late
NR,200ms,1.3925220292164502,3.5458133095411677,1.3677025515713596e-4,0.0786360843301826,0.9212271454146603,1.265767558082512,33.432595494472295,HC,late
NR,250ms,1.3925220292164502,3.719657626302279,0.16429994372899148,4.920900565052178e-4,0.8352079662145033,1.3136316281092406,32.45165395446913,HC,late
NR,300ms,1.3925220292164502,5.306038319322504,5.205471276929839e-102,0.05628184165786118,0.9437181583421388,1.6688454775746009,26.297456233906598,HC,late
