uid,Cond,Stage,nObs,CircSDDeg,MeanAbsDeg,CentralMass,ShoulderMass,TailMass
HC,S2C2NR,H0a POPCDM,499,22.1611278987222,16.3122371075607,0.657106420715278,0.314737537119635,0.0281560421650877
HC,S4C2NR,Observed,499,25.8064059083895,18.786372745491,0.649298597194389,0.272545090180361,0.0781563126252505
HC,S4C2NR,POP-only refit,499,27.9347313610373,19.4686515856947,0.634484479988921,0.306125729586687,0.0593897904243923
HC,S4C2NR,POP in H0a,499,23.7348536774448,16.419347300324,0.693839678015733,0.269618261296996,0.0365420606872712
HC,S4C2NR,CDM fixed drift,499,8.31460040299149,6.14596595314727,0.972524589006458,0.0274726678561051,2.74313743704225e-06
HC,S4C2NR,H0a POPCDM,499,25.1490727254732,17.9277558522857,0.642466465100076,0.314144852520611,0.0433886823793132
HC,S4C2R,Observed,500,19.0581493973773,13.6224,0.74,0.232,0.028
HC,S4C2R,POP-only refit,500,20.7534481452309,15.6107802175574,0.663719315539644,0.314118406332483,0.0221622781278727
HC,S4C2R,POP in H0a,500,20.5548185434019,14.8238751177975,0.706716088490395,0.271995148157596,0.0212887633520086
HC,S4C2R,CDM fixed drift,500,8.31460040299149,6.14596595314727,0.972524589006458,0.0274726678561051,2.74313743704225e-06
HC,S4C2R,H0a POPCDM,500,22.1728019251877,16.3649909616388,0.654228934217511,0.31748722331039,0.0282838424720993
HC,S4C4NR,Observed,499,28.2527657389097,20.0849699398797,0.623246492985972,0.292585170340681,0.0841683366733467
HC,S4C4NR,POP-only refit,499,29.1028939271522,20.1807989230444,0.6290878484508,0.304650314022076,0.0662618375271235
HC,S4C4NR,POP in H0a,499,24.0745260996318,16.6011183802306,0.692372677172388,0.269347464164837,0.0382798586627748
HC,S4C4NR,CDM fixed drift,499,8.31460040299149,6.14596595314727,0.972524589006458,0.0274726678561051,2.74313743704225e-06
HC,S4C4NR,H0a POPCDM,499,25.4698917701525,18.1058006122784,0.641126374851396,0.313764058449388,0.0451095666992157
HC,S6C2NR,Observed,500,27.0576328794911,18.7776,0.638,0.29,0.072
HC,S6C2NR,POP-only refit,500,27.405348177742,19.1532338359814,0.636874706402068,0.306779207080563,0.0563460865173691
HC,S6C2NR,POP in H0a,500,23.4339148494508,16.2600931726538,0.695124953647689,0.269855513345449,0.0350195330068611
HC,S6C2NR,CDM fixed drift,500,8.66668375353703,6.43455119183854,0.965439358259762,0.0345530404557503,7.60128448806915e-06
HC,S6C2NR,H0a POPCDM,500,24.9851910630104,17.8936947618374,0.63976447473341,0.317607757277634,0.0426277679889562
HC,S6C2R,Observed,500,17.1769344302765,12.456,0.794,0.184,0.022
HC,S6C2R,POP-only refit,500,20.7534481452302,15.6107802175571,0.663719315539647,0.314118406332484,0.0221622781278693
HC,S6C2R,POP in H0a,500,20.3833254774592,14.7434463148067,0.707365196818725,0.272114968588899,0.0205198345923758
HC,S6C2R,CDM fixed drift,500,8.66668375353703,6.43455119183854,0.965439358259762,0.0345530404557503,7.60128448806915e-06
HC,S6C2R,H0a POPCDM,500,22.1492971627513,16.410647034011,0.650866090260246,0.320849357655665,0.0282845520840891
HC,S6C4NR,Observed,500,33.4079637919472,23.3568,0.576,0.298,0.126
HC,S6C4NR,POP-only refit,500,36.4783621710602,25.1395212169558,0.591510797022514,0.294376911778875,0.114112291198611
HC,S6C4NR,POP in H0a,500,35.2993000651276,23.6859775833695,0.635193645000018,0.258792652283078,0.106013702716904
HC,S6C4NR,CDM fixed drift,500,8.66668375353703,6.43455119183854,0.965439358259762,0.0345530404557503,7.60128448806915e-06
HC,S6C4NR,H0a POPCDM,500,36.3476545649337,25.1550693827205,0.585408173365064,0.301736066654046,0.11285575998089
HC,S6C4R,Observed,498,20.9174683280544,15.0795180722891,0.72289156626506,0.240963855421687,0.036144578313253
HC,S6C4R,POP-only refit,498,21.8897454423073,16.1577644918243,0.659574284826828,0.312985172983814,0.0274405421893584
HC,S6C4R,POP in H0a,498,20.8600066495442,14.968455761317,0.705549236612289,0.271779756228083,0.0226710071596282
HC,S6C4R,CDM fixed drift,498,8.66668375353703,6.43455119183854,0.965439358259762,0.0345530404557503,7.60128448806915e-06
HC,S6C4R,H0a POPCDM,498,22.5887424329654,16.6306717198237,0.649219056639902,0.320368434424858,0.0304125089352402
HC,S6C6NR,Observed,500,39.6301092488149,27.504,0.576,0.26,0.164
HC,S6C6NR,POP-only refit,500,42.8001810564029,29.9063785245893,0.555387692806699,0.284501012372813,0.160111294820488
HC,S6C6NR,POP in H0a,500,41.1939330929154,28.0872926299675,0.599672411982617,0.252235704428897,0.148091883588486
HC,S6C6NR,CDM fixed drift,500,8.66668375353703,6.43455119183854,0.965439358259762,0.0345530404557503,7.60128448806915e-06
HC,S6C6NR,H0a POPCDM,500,42.0957424325479,29.4588796240649,0.553191242174392,0.292328929821194,0.154479828004415
PG,S2C2NR,Observed,499,17.0385786368494,12.3799599198397,0.783567134268537,0.190380761523046,0.0260521042084168
PG,S2C2NR,POP-only refit,499,19.0568379743342,13.0680026813095,0.778645716498065,0.202741425683397,0.0186128578185376
PG,S2C2NR,POP in H0a,499,17.6422318899993,11.6123594596102,0.835012725091124,0.147851172771716,0.0171361021371605
PG,S2C2NR,CDM fixed drift,499,6.93029309068744,4.96879601592732,0.99221383361327,0.00778615831604954,8.07068062404465e-09
PG,S2C2NR,H0a POPCDM,499,18.9546117972207,13.0360948631635,0.778294500455978,0.203652560159194,0.0180529393848288
PG,S4C2NR,Observed,499,19.9236922138255,13.8228456913828,0.783567134268537,0.182364729458918,0.0340681362725451
PG,S4C2NR,POP-only refit,499,22.7954445547434,14.8797430759191,0.762663681700307,0.201734869632174,0.0356014486675187
PG,S4C2NR,POP in H0a,499,19.3615046549625,12.3682523839196,0.827924988882411,0.147968324053183,0.0241066870644062
PG,S4C2NR,CDM fixed drift,499,6.99383737946818,5.0237986022537,0.991594618894345,0.00840536990755747,1.11980974848072e-08
PG,S4C2NR,H0a POPCDM,499,20.5859569560072,13.8023674228458,0.770807768582896,0.204149414300241,0.0250428171168637
PG,S4C2R,Observed,499,15.9812469523875,10.7206412825651,0.831663326653307,0.152304609218437,0.0160320641282565
PG,S4C2R,POP-only refit,499,18.0470601358252,12.6277349437659,0.782529481701229,0.202986027038372,0.0144844912603995
PG,S4C2R,POP in H0a,499,16.6788313315294,11.2165975543574,0.838723642200782,0.147789836022997,0.0134865217762201
PG,S4C2R,CDM fixed drift,499,6.99383737946818,5.0237986022537,0.991594618894345,0.00840536990755747,1.11980974848072e-08
PG,S4C2R,H0a POPCDM,499,18.0858280395467,12.6719874655034,0.780759096874728,0.204804363953734,0.0144365391715382
PG,S4C4NR,Observed,500,43.5792756784302,29.9376,0.574,0.246,0.18
PG,S4C4NR,POP-only refit,500,47.1683956936299,32.0622246604735,0.611090631050655,0.192188727775746,0.196720641173599
PG,S4C4NR,POP in H0a,500,46.3084374357846,30.7094203699072,0.655946450304142,0.150810910964724,0.193242638731133
PG,S4C4NR,CDM fixed drift,500,6.99383737946818,5.0237986022537,0.991594618894345,0.00840536990755747,1.11980974848072e-08
PG,S4C4NR,H0a POPCDM,500,46.8335898585024,31.8047133978921,0.612323664492781,0.193718735498983,0.193957600008237
PG,S6C2NR,Observed,499,19.5058410696221,13.6929859719439,0.765531062124249,0.200400801603206,0.0340681362725451
PG,S6C2NR,POP-only refit,499,21.5856440516513,14.2629059395462,0.768105031138335,0.202077568373165,0.0298174004885001
PG,S6C2NR,POP in H0a,499,18.2457179338618,11.8705094475091,0.832592145459185,0.147891181880044,0.0195166726607706
PG,S6C2NR,CDM fixed drift,499,7.1635881068514,5.17006678862963,0.98979868179766,0.0102012931355016,2.50668390864533e-08
PG,S6C2NR,H0a POPCDM,499,19.6016126246457,13.3794146901764,0.772539717627239,0.206921934920833,0.0205383474519282
PG,S6C2R,Observed,499,16.619797058548,11.1390781563126,0.829659318637274,0.152304609218437,0.0180360721442886
