index,r,g,b
278,174.49376499932902,183.48720745008254,254.99999999999997
279,177.4400900044628,182.5421465978871,254.99999999999997
280,180.33965836942284,181.60005616311204,254.99999999999997
281,183.19439866641792,180.6611132004677,254.99999999999997
282,186.00607336479342,179.72548950951222,254.99999999999997
283,188.77629638216828,178.7933516622348,254.99999999999997
284,191.5065483055628,177.86486104727297,254.99999999999997
285,194.19818964669793,176.94017393112037,254.99999999999997
286,196.85247243063955,176.01944153663194,254.99999999999997
287,199.47055036494436,175.10281013909844,254.99999999999997
288,202.05348779458745,174.1904211801114,254.99999999999997
289,204.60226761402984,173.2824113993998,254.99999999999997
290,207.11779828015975,172.37891298476282,254.99999999999997
291,209.60092004721275,171.48005374017498,254.99999999999997
292,212.05241052614136,170.58595727208998,254.99999999999997
293,214.472989655511,169.69674319390495,254.99999999999997
294,216.86332415818575,168.81252734850048,254.99999999999997
295,219.22403154738376,167.9334220487036,254.99999999999997
296,221.55568373672702,167.05953633546648,254.99999999999997
297,223.85881030137182,166.19097625348837,254.99999999999997
298,226.1339014309338,165.32784514395016,254.99999999999997
299,228.38141060953419,164.4702439539586,254.99999999999997
300,230.60175705368678,163.61827156224166,254.99999999999997
301,232.79532793483042,162.77202512056547,254.99999999999997
302,234.9624804099566,161.93160041027716,254.99999999999997
303,237.10354348088518,161.0970922133107,254.99999999999997
304,239.21881970026172,160.26859469693045,254.99999999999997
305,241.3085867402043,159.44620181140752,254.99999999999997
306,243.37309883764794,158.63000769977236,254.99999999999997
307,245.41258812884124,157.82010711869964,254.99999999999997
308,247.4272658840161,157.01659586952695,254.99999999999997
309,249.41732365203222,156.21957123833445,254.99999999999997
310,251.38293432371788,155.42913244394109,254.99999999999997
311,253.32425312168235,154.6453810926032,254.99999999999997
312,254.99999999999997,153.86842163813986,254.99999999999997
313,254.99999999999997,153.09836184612328,254.99999999999997
314,254.99999999999997,152.33531326071915,254.99999999999997
315,254.99999999999997,151.5793916726764,254.99999999999997
316,254.99999999999997,150.83071758690568,254.99999999999997
317,254.99999999999997,150.08941668800844,254.99999999999997
318,254.99999999999997,149.35562030204684,254.99999999999997
319,254.99999999999997,148.62946585277825,254.99999999999997
320,254.99999999999997,147.91109731050273,254.99999999999997
321,254.99999999999997,147.2006656315974,254.99999999999997
322,254.99999999999997,146.4983291867515,254.99999999999997
323,254.99999999999997,145.8042541758322,254.99999999999997
324,254.99999999999997,145.118615027254,254.99999999999997
325,254.99999999999997,144.44159477964948,254.99999999999997
326,254.99999999999997,143.7733854435769,254.99999999999997
327,254.99999999999997,143.11418834093945,254.99999999999997
328,254.99999999999997,142.46421441972643,254.99999999999997
329,254.99999999999997,141.82368454163958,254.99999999999997
330,254.99999999999997,141.19282974011108,254.99999999999997
331,254.99999999999997,140.57189144618462,254.99999999999997
332,254.99999999999997,139.9611216796907,254.99999999999997
333,254.99999999999997,139.36078320312916,254.99999999999997
334,254.99999999999997,138.77114963564878,254.99999999999997
335,254.99999999999997,138.1925055245235,254.99999999999997
336,254.99999999999997,137.62514637153208,254.99999999999997
337,254.99999999999997,137.0693786116789,254.99999999999997
338,254.99999999999997,136.52551954174683,254.99999999999997
339,254.99999999999997,135.99389719623966,254.61973127877786
340,254.99999999999997,135.47485016836433,252.16165835648653
341,254.99999999999997,134.96872737383188,249.68504050764554
342,254.99999999999997,134.47588775538463,247.19028688092214
343,254.99999999999997,133.99669992615296,244.67779680199263
344,254.99999999999997,133.5315417501407,242.14795903959606
