index,r,g,b
139,115.26850643019,239.330461546657,73.4557944353807
140,110.187060475146,239.943304823929,78.1227901023165
141,104.866753933931,240.540882317908,82.5979185071277
142,99.2670686347227,241.123072794265,86.9119758270569
143,93.3347494589739,241.689758175808,91.0888736202835
144,86.9975882967848,242.240823547871,95.1475697700321
145,80.1537246804311,242.776157166745,99.1033580263745
146,72.6517804531234,243.2956504711,102.968757873503
147,64.2500192374418,243.799198096313,106.754145868727
148,54.5191975140503,244.286697891628,110.468214355613
149,42.5513524770409,244.758050940081,114.118311713503
150,25.583438418658,245.213161581087,117.710699352511
151,0,245.651937435623,121.250748961015
152,0,246.074289433901,124.743096073115
153,0,246.480131845445,128.191761170078
154,0,246.869382311477,131.600246289849
155,0,247.241961879506,134.971612910872
156,0,247.597795040024,138.308545343733
157,0,247.936809765195,141.613402782037
158,0,248.258937549437,144.888262388207
159,0,248.564113451783,148.134955225898
160,0,248.852276139899,151.35509643543
161,0,249.123367935658,154.550110739132
162,0,249.377334862137,157.721254130339
163,0,249.614126691928,160.869632422312
164,0,249.833696996626,163.996217197005
165,0,250.036003197387,167.10185958792
166,0,250.221006616413,170.187302248708
167,0,250.388672529245,173.253189794106
168,0,250.538970217736,176.300077948222
169,0,250.671873023558,179.328441593955
170,0,250.787358402132,182.338681884215
171,0,250.885407976831,185.33113254881
172,0,250.966007593325,188.306065509084
173,0,251.029147373936,191.263695894568
174,0,251.074821771865,194.204186541261
175,0,251.10302962515,197.127652039051
176,0,251.113774210218,200.034162385765
177,0,251.107063294905,202.923746296944
178,0,251.082909190778,205.796394213459
179,0,251.041328804658,208.652061043184
180,0,250.982343689163,211.490668667975
181,0,250.905980092174,214.312108243019
182,0,250.812269005045,217.116242312011
183,0,250.70124620946,219.902906758613
184,0,250.572952322755,222.671912612002
185,0,250.427432841606,225.423047722124
186,0,250.264738183926,228.156078318302
187,0,250.08492372883,230.870750463229
188,0,249.888049854553,233.566791412914
189,0,249.674181974161,236.243910891914
190,0,249.443390568947,238.90180229211
191,0,249.195751219357,241.540143802316
192,0,248.931344633327,244.158599475218
193,0,248.650256671895,246.756820237391
194,0,248.352578371972,249.334444847529
195,0,248.038405966122,251.891100807434
196,0,247.707840899246,254.426405229868
197,0,247.360989842038,255
198,0,246.99796470109,255
199,0,246.618882625527,255
200,0,246.223866010061,255
201,0,245.813042494335,255
202,0,245.386544958454,255
203,0,244.944511514588,255
204,0,244.487085494548,255
205,0,244.01441543321,255
206,0,243.526655047706,255
207,0,243.023963212267,255
208,0,242.506503928637,255
209,0,241.974446291948,255
210,0,241.427964451983,255
211,0,240.86723756973,255
212,0,240.292449769157,255
213,0,239.703790084125,255
214,0,239.101452400361,255
215,0,238.485635392444,255
216,0,237.856542455715,255
217,0,237.214381633078,255
218,0,236.559365536626,255
219,0,235.891711264052,255
220,0,235.211640309809,255
221,0,234.519378470976,255
222,0,233.81515574782,255
223,0,233.099206239024,255
224,0,232.37176803157,255
225,0,231.633083085289,255
226,0,230.883397112068,255
227,0,230.122959449731,255
228,0,229.352022930635,255
229,0,228.570843744995,255
230,0,227.779681298992,255
231,0,226.978798067723,255
232,0,226.168459443051,255
233,0,225.348933576445,255
234,0,224.520491216889,255
235,0,223.683405543972,255
236,0,222.837951996275,255
237,0,221.984408095185,255
238,0,221.123053264276,255
239,0,220.254168644433,255
240,0,219.378036904874,255
241,0,218.49494205028,255
242,0,217.60516922423,255
243,0,216.709004509165,255
244,0,215.806734723136,255
245,0,214.898647213571,255
